StreetAddress,City,State,Zip,County,Country,SPLC,CountryPostalFilter,AbbreviationFormat,StateName,StateAbbreviation,CountryAbbreviation,latitoode,Longitood,Region,Label,PlaceName,TimeZone,ConfidenceLevel,TimeZoneOffset
,,,,,,,,,,,,41.412913,-87.745210,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.412974,-87.744848,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.414979,-87.742201,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.415289,-87.729613,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.416156,-87.734338,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.416314,-87.733967,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.416350,-87.734342,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.416370,-87.734285,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.417370,-87.729214,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418354,-87.748853,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418338,-87.748936,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.419670,-87.748926,4,,,CDT,Good,GMT-5:00
,,,,,,,,,,,,41.418495,-87.632484,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418551,-87.632567,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418586,-87.771547,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.417913,-87.772909,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418610,-87.632285,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418689,-87.772494,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418698,-87.771653,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.419115,-87.632510,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418689,-87.772494,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418689,-87.772494,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418913,-87.773244,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418796,-87.737354,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418808,-87.735892,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418689,-87.772494,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418799,-87.736988,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418816,-87.734849,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418913,-87.737027,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418802,-87.736623,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.418923,-87.735826,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.420599,-87.639685,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.420933,-87.779721,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.421444,-87.778795,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.421122,-87.753379,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.421121,-87.753116,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.421590,-87.756245,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.422015,-87.720738,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.422110,-87.739484,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.422159,-87.739997,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.422198,-87.721553,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.422316,-87.720997,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.422417,-87.727619,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.422960,-87.756376,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.422633,-87.719547,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423164,-87.723698,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423185,-87.719748,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423133,-87.756264,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423166,-87.723439,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423223,-87.723412,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423244,-87.719492,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423215,-87.756265,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423299,-87.719750,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423289,-87.756266,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423768,-87.750273,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423762,-87.755962,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423731,-87.751820,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.423810,-87.756273,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.424001,-87.719437,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.424194,-87.719437,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.424138,-87.547387,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.424209,-87.719494,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.424264,-87.720283,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.425948,-87.719499,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.427032,-87.751761,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,41.427728,-87.639400,4,,,CDT,Exact,GMT-5:00
,,,,,,,,,,,,55.169795,-118.797707,4,,,MDT,Exact,GMT-6:00
